PP,block,minute,HR,RMSSD,SCL,HR_ch2,HR_beats,n_beats,source_file
10,1,1,74.98143973422377,74.2710571112877,108.76722709095726,74.85843306543926,74.98143973422377,74,pp10_8-10-2012-c1.S00
10,1,2,59.97657165169855,93.69907644431824,117.79707210759322,60.73432046808303,59.97657165169855,60,pp10_8-10-2012-c1.S00
10,1,3,65.4369298953842,84.19388566476071,119.84481956660747,65.44391808590541,65.4369298953842,65,pp10_8-10-2012-c1.S00
10,1,4,63.905403186073244,61.57206648425653,123.87173983405033,63.453143779933455,63.905403186073244,64,pp10_8-10-2012-c1.S00
10,1,5,66.11462945648914,51.006346438596836,137.36837801436585,66.03523921758557,66.11462945648914,66,pp10_8-10-2012-c1.S00
10,1,6,67.61510294735578,54.670785438631555,143.3673197021087,75.04525213769327,67.61510294735578,68,pp10_8-10-2012-c1.S00
10,1,7,70.80500288106295,124.38180646051636,141.56716233094534,73.38134916300575,70.80500288106295,69,pp10_8-10-2012-c1.S00
10,1,8,75.735386345451,153.04525484251099,148.99351816674073,78.84193144499635,75.735386345451,71,pp10_8-10-2012-c1.S00
10,1,9,74.28069479470686,57.226168360789906,109.73536529789368,75.4075540204222,74.28069479470686,73,pp10_8-10-2012-c1.S00
10,1,10,67.90610873051104,51.32236241275631,106.21501921266318,67.79398332297181,67.90610873051104,68,pp10_8-10-2012-c1.S00
10,1,11,71.81326541293046,40.44972201027957,111.60455180207889,71.45990601790449,71.81326541293046,72,pp10_8-10-2012-c1.S00
10,1,12,70.19830175450744,55.89966534206907,95.46498241871595,71.15989711905519,70.19830175450744,70,pp10_8-10-2012-c1.S00
10,1,13,67.79163923048175,64.63866194633124,95.27262759457032,68.67740777842701,67.79163923048175,69,pp10_8-10-2012-c1.S00
10,1,14,65.99181229915922,61.68665957047458,95.91311961660783,66.28202371740093,65.99181229915922,65,pp10_8-10-2012-c1.S00
10,1,15,69.88270420132224,39.55776564824364,99.86479959189892,69.77731310582409,69.88270420132224,72,pp10_8-10-2012-c1.S00
10,1,16,70.1169757489301,39.99926370974918,96.10837416350842,71.91731023211032,70.1169757489301,70,pp10_8-10-2012-c1.S00
10,1,17,70.39574692362336,39.15059024609344,101.142633951207,73.41987778317804,70.39574692362336,72,pp10_8-10-2012-c1.S00
10,1,18,71.0658027583638,38.47696206292513,99.74061443805695,71.06184189406534,71.0658027583638,69,pp10_8-10-2012-c1.S00
10,1,19,70.75401170473853,38.792452374350184,93.6424897685647,73.43438664445033,70.75401170473853,72,pp10_8-10-2012-c1.S00
10,1,20,70.61830228863121,34.80222478126908,96.15349877973398,70.93938538928826,70.61830228863121,71,pp10_8-10-2012-c1.S00
10,1,21,71.29301933067856,34.83631592918019,103.56631465256214,71.14261741054555,71.29301933067856,71,pp10_8-10-2012-c1.S00
10,1,22,69.56558660403896,43.684726038231865,108.78633455534776,69.43126575692246,69.56558660403896,71,pp10_8-10-2012-c1.S00
10,1,23,82.04686876930067,138.4462451789293,91.2531115134557,82.5302352154317,82.04686876930067,77,pp10_8-10-2012-c1.S00
10,1,24,65.80939763790626,66.46149204854738,96.04792629877726,66.70317006732027,65.80939763790626,67,pp10_8-10-2012-c1.S00
10,1,25,77.31421245073365,213.28843556905568,91.91521325558423,86.76633269190788,77.31421245073365,70,pp10_8-10-2012-c1.S00
10,1,26,83.3178890270087,140.97466970406046,87.95318326801062,80.31157918224731,83.3178890270087,71,pp10_8-10-2012-c1.S00
10,1,27,69.07793073694944,46.35464508315933,89.009150707225,74.28878818334391,69.07793073694944,71,pp10_8-10-2012-c1.S00
10,1,28,73.71509985752493,72.93788597298166,88.0503962179025,82.0968463893359,73.71509985752493,72,pp10_8-10-2012-c1.S00
10,1,29,69.00727504786215,44.871794173132365,86.37804575016101,69.13109942842274,69.00727504786215,68,pp10_8-10-2012-c1.S00
10,1,30,68.36933937249515,46.825362470530585,91.0260567933321,68.8314027260989,68.36933937249515,69,pp10_8-10-2012-c1.S00
10,1,31,69.62548664802326,37.796104276196395,86.97064409057299,69.59071142723162,69.62548664802326,70,pp10_8-10-2012-c1.S00
10,1,32,69.98043484251426,37.35998938145716,87.4049524779121,70.55395089052618,69.98043484251426,70,pp10_8-10-2012-c1.S00
10,1,33,73.08630226610362,39.66275532153906,87.68903849472602,72.94922866473595,73.08630226610362,73,pp10_8-10-2012-c1.S00
10,1,34,70.50389820783691,39.77324264911176,87.64727791299423,70.07940783842156,70.50389820783691,71,pp10_8-10-2012-c1.S00
10,1,35,68.98444264712879,37.8711963886967,89.79521048516035,71.00013031829148,68.98444264712879,69,pp10_8-10-2012-c1.S00
10,1,36,71.9979911274797,74.13049101366346,87.43899284203847,79.38225161675363,71.9979911274797,72,pp10_8-10-2012-c1.S00
10,1,37,69.00611067750472,48.98060110089446,89.20761042485634,73.51389605874816,69.00611067750472,71,pp10_8-10-2012-c1.S00
10,1,38,70.23615414698715,50.21405212148013,88.8254915257295,72.8021212492759,70.23615414698715,71,pp10_8-10-2012-c1.S00
10,1,39,70.36457339186867,50.1917469457592,91.67007232755422,71.05614099831631,70.36457339186867,71,pp10_8-10-2012-c1.S00
10,1,40,69.45499827782635,36.87817953676077,88.35790922393402,68.89079047168295,69.45499827782635,69,pp10_8-10-2012-c1.S00
10,1,41,70.04467990577821,37.41777619812897,90.1477032671372,69.81821089976778,70.04467990577821,70,pp10_8-10-2012-c1.S00
10,1,42,72.78289273115283,44.96708401507838,87.85153993318478,73.21336315125227,72.78289273115283,73,pp10_8-10-2012-c1.S00
10,1,43,68.3363835832516,42.097985179373396,89.20627529025077,70.8441812323096,68.3363835832516,67,pp10_8-10-2012-c1.S00
